index,doc_a,doc_b,label,type,TF-IDF,Section Cosine
31,SU26SE083,SU26SE083_plag,1,Type_A,0.6186866659747482,0.5404507616134381
32,SU26SE025,SU26SE025_plag,1,Type_A,0.684107461816676,0.5408427772686342
33,SU26SE056,SU26SE056_plag,1,Type_A,0.6128395224184854,0.5037666272875079
34,SU26SE001,SU26SE001_plag,1,Type_A,0.588531170639634,0.4947296840146335
35,SU26SE072,SU26SE072_plag,1,Type_A,0.40918193616689846,0.78977944164062
36,SU26SE042,SU26SE042_plag,1,Type_A,0.6947553155331009,0.5133150573871961
37,SU26SE095,SU26SE095_plag,1,Type_A,0.6682300106104185,0.5029502248992465
38,SU26SE168,SP26SE003,0,Type_B,0.15623594347839323,0.05770785597340279
39,SU26SE169,SP26SE112,0,Type_B,0.1417001621024517,0.05664673114080463
40,SP26SE001,SU26SE004,0,Type_B,0.03442088840062291,0.014623161604832043
41,SP26SE150,SP26SE092,0,Type_B,0.1198494582366682,0.4973550515353441
42,SP26SE007,SP26SE098,0,Type_B,0.1254236668434825,0.5019448612200577
43,SP26SE102,SP26SE055,0,Type_B,0.12177221879990567,0.5107620741791193
44,SP26SE132,SP26SE157,0,Type_B,0.14788785917729103,0.5226583864125132
45,SP26SE143,SP26SE062,0,Type_B,0.11551685162526011,0.478980173274575
46,SU26SE063,SP26SE019,0,Type_B,0.15639225771570922,0.059081301446488266
47,SU26SE088,SP26SE156,0,Type_B,0.09156267901948115,0.04075163626594222
48,SP26SE110,SP26SE038,0,Type_B,0.1208238689189695,0.5201560709322174
49,SU26SE080,SU26SE046,0,Type_B,0.23509120350978568,0.05828422345600516
50,SU26SE033,SP26SE161,0,Type_B,0.12254981683361268,0.03614755563153895
51,SU26SE048,SU26SE087,0,Type_B,0.26508392871489506,0.21845108439117214
52,SP26SE048,SU26SE087,0,Type_B,0.15824269492211973,0.07052586020648641
53,SP26SE047,SP26SE159,0,Type_B,0.0651198293594581,0.49887632232599943
54,SU26SE097,SP26SE150,0,Type_B,0.12046668162059167,0.030606691830912598
55,SP26SE150,SP26SE042,0,Type_B,0.12013886852681084,0.49226618719602216
56,SU26SE102,SP26SE034,0,Type_B,0.08039076542674285,0.027946311835040802
57,SP26SE138,SU26SE030,0,Type_B,0.11234824182069661,0.04155690937942737
58,SU26SE026,SU26SE063,0,Type_B,0.16444601534592462,0.10028634402913196
59,SU26SE059,SP26SE048,0,Type_B,0.07658502080618773,0.034245119093509545
60,SP26SE069,SP26SE091,0,Type_B,0.18648324291823148,0.4930240442425205
61,SP26SE119,SU26SE067,0,Type_B,0.13209218982004003,0.08064432277037377
62,SU26SE015,SP26SE024,0,Type_B,0.12465432436632116,0.02268732587744984
