index,doc_a,doc_b,label,legacy_tree_label_tfidf,clean_full_text_tfidf,legacy_tree_label_section,clean_full_text_section
84,SU26SE087,SP26SE001,0,0.2461237161803984,0.06294959787067535,1.0,0.04029635845394987
85,SU26SE061,SU26SE021,0,0.22670666329954245,0.10325440707317506,0.9330952941800104,0.04975545177046085
86,SP26SE162,SP26SE086,0,0.2461237161803984,0.08576685176460638,1.0,0.4947598071968266
87,SP26SE061,SP26SE049,0,0.2461237161803984,0.1402128272907613,1.0,0.5141191306259678
88,SP26SE122,SP26SE055,0,0.2461237161803984,0.09685934545340298,1.0,0.5118471120406379
89,SP26SE038,SU26SE109,0,0.2461237161803984,0.1332508705871307,1.0,0.056400010749677904
90,SP26SE123,SU26SE063,0,0.2461237161803984,0.05823085663899595,1.0,0.018594493784020224
91,SP26SE038,SU26SE023,0,0.2461237161803984,0.06733812158841813,1.0,0.03142637763969771
92,SP26SE098,SU26SE116,0,0.18891850806606045,0.08684259762663878,0.7133905982829426,0.4964345075077984
93,SU26SE022,SP26SE161,0,0.2461237161803984,0.15050981379208006,1.0,0.05287803660047051
94,SU26SE045,SP26SE024,0,0.2461237161803984,0.10864618977890995,1.0,0.03388004533926087
95,SP26SE161,SP26SE078,0,0.2461237161803984,0.05545155848032848,1.0,0.4786112457612631
96,SU26SE104,SP26SE048,0,0.22670666329954245,0.07147284508493335,0.9330952941800104,0.029794123225086316
97,SU26SE021,SP26SE026,0,0.22670666329954245,0.09718854714217587,0.9330952941800104,0.02748651112654044
98,SP26SE078,SP26SE011,0,0.2461237161803984,0.04398050507240477,1.0,0.470658040196084
99,SU26SE087,SP26SE087,0,0.1849323630203766,0.08374425315308906,0.8117332705805382,0.021318423745213706
100,SP26SE110,SU26SE091,0,0.2461237161803984,0.12920679700996465,1.0,0.052462260783222886
101,SU26SE026,SP26SE029,0,0.22670666329954245,0.060190750445277386,0.9330952941800104,0.025834725097229422
102,SP26SE058,SU26SE043,0,0.2461237161803984,0.0935516716375361,1.0,0.04225201089165762
103,SP26SE012,SP26SE058,0,0.2461237161803984,0.0738005244009963,1.0,0.4911602442603117
104,SP26SE087,SU26SE166,0,0.1849323630203766,0.08827172398418649,0.8117332705805382,0.02556872584742424
105,SP26SE104,SU26SE032,0,0.2461237161803984,0.08218464377430303,1.0,0.026577430809880776
106,SU27SE153,SU26SE030,0,0.04514712772009748,0.11448127374668254,0.24180644943038657,0.04290059618891213
107,SP26SE068,SU26SE063,0,0.2461237161803984,0.13567016772651966,1.0,0.03368217518729132
108,SP26SE018,SU26SE048,0,0.2461237161803984,0.08422175788096863,1.0,0.025134505644609388
109,SP26SE162,SP26SE052,0,0.2461237161803984,0.07454630230997458,1.0,0.49507300143258237
110,SU26SE044,SU26SE031,0,0.2274514228421784,0.1535968103450179,0.8,0.08993043445498974
111,SP26SE149,SP26SE024,0,0.2461237161803984,0.06910562630423563,1.0,0.4743028692334082
112,SP26SE107,SU26SE019,0,0.2461237161803984,0.0939576766216454,1.0,0.040909790662831014
113,SP26SE128,SU26SE074,0,0.19668211274086636,0.16675643104491863,0.8589402498361025,0.2471240367623098
114,SU26SE029,SU26SE021,0,0.22670666329954245,0.13056683612816525,0.9330952941800104,0.08774578101110835
115,SP26SE129,SP26SE078,0,0.2461237161803984,0.05806361958881073,1.0,0.4830733052639747
116,SP26SE056,SP26SE078,0,0.2461237161803984,0.08607050279430634,1.0,0.49052030446394534
117,SP26SE051,SP26SE070,0,0.19553325661563467,0.08673847211428391,0.8559725777462779,0.49487176961638246
118,SU26SE005,SP26SE158,0,0.2461237161803984,0.06214777643053831,1.0,0.030582215199721853
119,SP26SE001,SU26SE022,0,0.2461237161803984,0.08736744017550653,1.0,0.03003464765462798
120,SP26SE034,SU26SE079,0,0.14546946901716087,0.07912581239169643,0.6061402597590244,0.24160170895800123
121,SP26SE056,SU26SE063,0,0.2461237161803984,0.0958852351576155,1.0,0.030781898978063674
122,SP26SE033,SP26SE078,0,0.2461237161803984,0.07014969844219124,1.0,0.48112323242604876
123,SU26SE064,SU26SE018,0,0.2461237161803984,0.1939791912566198,1.0,0.10478428075312637
124,SP26SE010,SU26SE031,0,0.2461237161803984,0.09470438817011997,1.0,0.03441544704548641
125,SU26SE015,SP26SE044,0,0.2461237161803984,0.07160575826768915,1.0,0.022412398018519127
126,SP26SE101,SU26SE083,0,0.22670666329954245,0.10233797897407945,0.9330952941800104,0.033709594670091075
127,SU26SE094,SP26SE034,0,0.21638170254260197,0.11420778080342603,0.8888559870142707,0.037269429708725765
128,SP26SE143,SP26SE057,0,0.15349511615179245,0.05775732919415475,0.7063446476675117,0.47405455251511364
129,SP26SE150,SU26SE107,0,0.2461237161803984,0.13440590615577508,1.0,0.03320493984349187
130,SP26SE093,SU27SE153,0,0.04514712772009748,0.12298965074429213,0.24180644943038657,0.5147256433101413
131,SU26SE070,SP26SE052,0,0.2461237161803984,0.09172252418812067,1.0,0.04292857195383265
132,SU26SE091,SU26SE032,0,0.2461237161803984,0.14073837626178723,1.0,0.09459809673356857
133,SP26SE103,SU26SE079,0,0.17773604801356993,0.07665851740166298,0.8392355539390348,0.24167739770488353
134,SP26SE102,SP26SE109,0,0.2461237161803984,0.08429783432553693,1.0,0.4989219699291546
135,SP26SE019,SU26SE091,0,0.2461237161803984,0.14425183572016204,1.0,0.06902471378330914
136,SP26SE158,SP26SE019,0,0.2461237161803984,0.1429481056489529,1.0,0.5151588053099199
137,SP26SE133,SP26SE074,0,0.2461237161803984,0.06863385325639658,1.0,0.4932310267271667
