index,doc_a,doc_b,label,type,SBERT_MiniLM,BGE_Small_v1.5,MPNet_Base_v2
34,SU26SE001,SU26SE001_plag,1,Type_A,0.8775757551193237,0.9505279660224915,0.9034613966941833
35,SU26SE072,SU26SE072_plag,1,Type_A,0.699146032333374,0.8693501949310303,0.8765052556991577
36,SU26SE042,SU26SE042_plag,1,Type_A,0.8802626729011536,0.9338487386703491,0.9236906170845032
37,SU26SE095,SU26SE095_plag,1,Type_A,0.9171628355979919,0.9370356798171997,0.9397478103637695
38,SU26SE168,SP26SE003,0,Type_B,0.28372082114219666,0.6567217707633972,0.37917155027389526
39,SU26SE169,SP26SE112,0,Type_B,0.3012353479862213,0.6900138258934021,0.422355592250824
40,SP26SE001,SU26SE004,0,Type_B,0.19580085575580597,0.6470680832862854,0.17621126770973206
41,SP26SE150,SP26SE092,0,Type_B,0.20209580659866333,0.6511930823326111,0.24437245726585388
42,SP26SE007,SP26SE098,0,Type_B,0.33924779295921326,0.6502068042755127,0.32617560029029846
43,SP26SE102,SP26SE055,0,Type_B,0.3374311327934265,0.6702532172203064,0.4088125228881836
44,SP26SE132,SP26SE157,0,Type_B,0.3599835932254791,0.7036725282669067,0.4012607932090759
45,SP26SE143,SP26SE062,0,Type_B,0.3971773684024811,0.65902179479599,0.3734099566936493
46,SU26SE063,SP26SE019,0,Type_B,0.17689859867095947,0.6321240663528442,0.34269848465919495
47,SU26SE088,SP26SE156,0,Type_B,0.3346709907054901,0.6626246571540833,0.42371246218681335
48,SP26SE110,SP26SE038,0,Type_B,0.25886261463165283,0.6211479306221008,0.2692278325557709
49,SU26SE080,SU26SE046,0,Type_B,0.4236748516559601,0.6761245131492615,0.5362407565116882
50,SU26SE033,SP26SE161,0,Type_B,0.3902001678943634,0.6818019151687622,0.3479435443878174
51,SU26SE048,SU26SE087,0,Type_B,0.5147178173065186,0.7359195351600647,0.5940805077552795
52,SP26SE048,SU26SE087,0,Type_B,0.5206124782562256,0.7048333287239075,0.5300703644752502
53,SP26SE047,SP26SE159,0,Type_B,0.13779757916927338,0.47043871879577637,0.13762792944908142
54,SU26SE097,SP26SE150,0,Type_B,0.269878089427948,0.6572318077087402,0.414698988199234
55,SP26SE150,SP26SE042,0,Type_B,0.2016124427318573,0.6634963154792786,0.2792486846446991
56,SU26SE102,SP26SE034,0,Type_B,0.35588741302490234,0.6688635945320129,0.40764254331588745
57,SP26SE138,SU26SE030,0,Type_B,0.34504976868629456,0.6520699858665466,0.3125368654727936
58,SU26SE026,SU26SE063,0,Type_B,0.25254786014556885,0.6459640860557556,0.3322685956954956
59,SU26SE059,SP26SE048,0,Type_B,0.38548946380615234,0.6650670766830444,0.3593725264072418
60,SP26SE069,SP26SE091,0,Type_B,0.5663342475891113,0.7245859503746033,0.5870105028152466
