index,doc_a,doc_b,label,type,TF-IDF,Standard TED,pq-Gram,Section Cosine,Genuine Flat Domain SBERT
77,SP26SE134,SU26SE169,0,Type_B,0.10724014019275391,0.5755813953488372,0.0,0.03518495883277065,1.0
78,SP26SE055,SP26SE128,0,Type_B,0.1426963444150386,0.5755813953488372,0.0,0.5221242605135648,1.0
79,SU26SE094,SP26SE157,0,Type_B,0.17890667939080335,0.5755813953488372,0.0,0.05354738393509067,1.0
80,SU26SE166,SU26SE082,0,Type_B,0.1071989156880895,0.562874251497006,0.0,0.04629713234214223,1.0
81,SP26SE087,SP26SE052,0,Type_B,0.06965402959241386,0.513157894736842,0.0,0.4995195830061875,1.0
82,SP26SE128,SU26SE079,0,Type_B,0.13975397679960486,0.4758620689655172,0.0,0.24475121013206297,1.0
83,SP26SE088,SP26SE134,0,Type_B,0.059120315683042025,0.5,0.0,0.46725449516756423,1.0
84,SU26SE087,SP26SE001,0,Type_B,0.06682590283043176,0.5755813953488372,0.0,0.04219335774169132,1.0
85,SU26SE061,SU26SE021,0,Type_B,0.11716559134505675,0.5460122699386503,0.0,0.05182783682265706,1.0
86,SP26SE162,SP26SE086,0,Type_B,0.08866355725692851,0.5755813953488372,0.0,0.4976056467805855,1.0
87,SP26SE061,SP26SE049,0,Type_B,0.15063280141821772,0.5755813953488372,0.0,0.5174280168363259,1.0
88,SP26SE122,SP26SE055,0,Type_C,0.10098197789630643,0.5755813953488372,0.0,0.5123052802421423,1.0
89,SP26SE038,SU26SE109,0,Type_C,0.14594552984484924,0.5755813953488372,0.0,0.060442013259728054,1.0
90,SP26SE123,SU26SE063,0,Type_C,0.06524816424208066,0.5755813953488372,0.0,0.021287618750188773,1.0
91,SP26SE038,SU26SE023,0,Type_C,0.07319512654104769,0.5755813953488372,0.0,0.03429657936817029,1.0
92,SP26SE098,SU26SE116,0,Type_C,0.09774590455695416,0.4755244755244755,0.0,0.4995986951708558,1.0
93,SU26SE022,SP26SE161,0,Type_C,0.162673091053934,0.5755813953488372,0.0,0.05654187990727182,1.0
94,SU26SE045,SP26SE024,0,Type_C,0.11456676522265984,0.5755813953488372,0.0,0.03556606534160296,1.0
95,SP26SE161,SP26SE078,0,Type_C,0.06034812294796087,0.5755813953488372,0.0,0.48019292805820263,1.0
96,SU26SE104,SP26SE048,0,Type_C,0.08127744183753907,0.5225806451612903,0.0,0.03297753881391663,1.0
97,SU26SE021,SP26SE026,0,Type_C,0.10552539422438702,0.5460122699386503,0.0,0.029716490193747468,1.0
98,SP26SE078,SP26SE011,0,Type_C,0.04886194678452678,0.5755813953488372,0.0,0.4716146097028144,1.0
99,SU26SE087,SP26SE087,0,Type_C,0.08921437681500458,0.5098039215686274,0.0,0.023712561145930015,1.0
100,SP26SE110,SU26SE091,0,Type_C,0.14156354233969062,0.5755813953488372,0.0,0.05709108821754707,1.0
101,SU26SE026,SP26SE029,0,Type_C,0.06618650540150137,0.5460122699386503,0.0,0.02895671432257449,1.0
102,SP26SE058,SU26SE043,0,Type_C,0.09956960238293308,0.5755813953488372,0.0,0.04376333724113079,1.0
103,SP26SE012,SP26SE058,0,Type_C,0.0781591373123381,0.5755813953488372,0.0,0.49336043327268136,1.0
104,SP26SE087,SU26SE166,0,Type_C,0.09051129482609344,0.527027027027027,0.0,0.026815637224776125,1.0
105,SP26SE104,SU26SE032,0,Type_C,0.09313654576434102,0.5755813953488372,0.0,0.029757183150631677,1.0
106,SU27SE153,SU26SE030,0,Type_C,0.12265935602164318,0.2660550458715596,0.0,0.04691651041546309,1.0
107,SP26SE068,SU26SE063,0,Type_C,0.14506046124813343,0.5755813953488372,0.0,0.03505610632898287,1.0
108,SP26SE018,SU26SE048,0,Type_C,0.09200029597817966,0.5755813953488372,0.0,0.02698632592204151,1.0
109,SP26SE162,SP26SE052,0,Type_C,0.07897669739975109,0.5730994152046784,0.0,0.4982778968849027,1.0
110,SU26SE044,SU26SE031,0,Type_C,0.15843932997480328,0.5460122699386503,0.0,0.0870724777543852,1.0
111,SP26SE149,SP26SE024,0,Type_C,0.07488723069885171,0.5755813953488372,0.0,0.4746474136532314,1.0
